protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
ARCN1,0.86,0.66
AREGB,0.3,0.34
AREL1,0.24,0.24
ARF1,0.98,0.44
ARF3,0.74,0.58
ARF4,1.0,1.0
ARF5,0.56,0.16
ARF6,1.0,0.24
ARFGAP1,0.8,0.58
ARFGAP2,0.2,0.0
ARFGAP3,0.4,0.08
ARFGEF1,0.94,0.46
ARFGEF2,0.82,0.64
ARFIP1,0.7,0.3
ARFIP2,0.9,0.64
ARFRP1,0.08,0.08
ARG1,0.54,0.06
ARG2,0.02,0.02
ARGLU1,0.38,0.1
ARHGAP1,0.86,0.76
ARHGAP10,0.36,0.12
ARHGAP11A,0.16,0.0
ARHGAP12,0.06,0.02
ARHGAP15,0.64,0.0
ARHGAP17,0.7,0.52
ARHGAP18,0.12,0.0
ARHGAP19,0.12,0.02
ARHGAP21,0.28,0.18
ARHGAP22,0.06,0.06
ARHGAP23,0.24,0.02
ARHGAP24,0.22,0.04
ARHGAP25,0.02,0.0
ARHGAP26,0.56,0.2
ARHGAP27,0.26,0.14
ARHGAP29,0.34,0.12
ARHGAP31,0.24,0.02
ARHGAP32,0.98,0.56
ARHGAP33,0.24,0.12
ARHGAP35,0.42,0.4
ARHGAP36,0.04,0.0
ARHGAP4,0.2,0.08
ARHGAP44,0.18,0.06
ARHGAP5,1.0,1.0
ARHGAP6,0.04,0.0
ARHGAP8,0.3,0.16
ARHGAP9,0.4,0.1
ARHGDIA,1.0,0.74
ARHGDIB,0.66,0.5
ARHGDIG,0.24,0.16
ARHGEF1,0.8,0.5
ARHGEF10,0.28,0.16
ARHGEF10L,0.08,0.04
ARHGEF11,0.94,0.68
ARHGEF12,0.86,0.64
ARHGEF15,0.18,0.14
ARHGEF16,0.2,0.1
ARHGEF17,0.2,0.04
ARHGEF18,0.12,0.08
ARHGEF19,0.22,0.08
ARHGEF2,0.86,0.36
ARHGEF25,0.22,0.18
ARHGEF28,0.22,0.2
ARHGEF3,0.26,0.18
ARHGEF35,0.02,0.0
ARHGEF39,0.34,0.12
ARHGEF4,0.38,0.06
ARHGEF40,0.44,0.18
ARHGEF5,0.6,0.34
ARHGEF6,0.7,0.34
ARHGEF7,0.98,0.62
ARHGEF9,0.3,0.06
ARID1A,0.92,0.74
ARID1B,0.94,0.68
ARID2,0.6,0.54
ARID3A,0.58,0.28
ARID3B,0.24,0.04
ARID4A,0.68,0.5
ARID4B,0.68,0.38
ARID5A,0.32,0.18
ARID5B,0.38,0.06
ARIH1,0.88,0.58
ARIH2,1.0,0.78
ARIH2OS,0.02,0.0
ARL1,0.62,0.34
ARL11,0.26,0.34
ARL13A,0.14,0.0
ARL13B,0.24,0.04
ARL14,0.16,0.06
ARL14EP,0.4,0.04
ARL15,0.74,0.5
ARL16,0.04,0.0
ARL17B,0.06,0.0
ARL2,0.9,0.34
ARL2BP,0.36,0.2
ARL3,0.8,0.58
ARL4A,0.14,0.0
ARL4C,0.32,0.08
ARL4D,0.84,0.52
ARL5A,0.32,0.26
ARL5B,0.24,0.0
ARL6,0.28,0.2
ARL6IP1,0.84,0.52
ARL6IP4,0.4,0.14
ARL6IP5,0.6,0.34
ARL6IP6,0.04,0.02
ARL8A,0.4,0.0
ARL8B,0.6,0.12
ARMC1,0.3,0.14
ARMC10,0.16,0.04
ARMC5,0.12,0.0
ARMC6,0.66,0.1
ARMC7,0.36,0.24
ARMC8,0.46,0.2
ARMC9,0.12,0.04
ARMCX1,0.02,0.0
ARMCX2,0.1,0.04
ARMCX3,0.58,0.22
ARMCX5,0.3,0.0
ARNT,1.0,0.82
ARNT2,0.32,0.24
ARNTL,0.8,0.5
ARNTL2,0.14,0.06
ARP3BETA,0.0,0.02
ARPC1A,0.7,0.24
ARPC1B,0.92,0.92
ARPC2,1.0,1.0
ARPC3,0.92,0.78
ARPC4,0.96,0.68
ARPC4-TTLL3,0.78,0.5
ARPC5,1.0,1.0
ARPC5L,0.76,0.42
ARPP19,1.0,1.0
ARPP21,0.14,0.0
ARR3,0.9,0.58
ARRB1,1.0,0.0
ARRB2,1.0,0.0
ARRDC1,0.72,0.5
ARRDC2,0.02,0.04
ARRDC3,0.74,0.36
ARRDC4,0.26,0.1
ARSA,0.1,0.06
ARSB,0.04,0.0
ARSE,0.26,0.12
ARSF,0.12,0.0
ART3,0.02,0.0
ART4,0.06,0.0
ARV1,0.22,0.0
ARVCF,0.56,0.22
AS3MT,0.12,0.0
ASAH1,0.32,0.02
ASAH2,0.06,0.02
ASAH2B,0.06,0.0
ASAP1,0.96,0.78
ASAP2,0.72,0.2
ASAP3,0.06,0.02
ASB1,0.38,0.2
ASB10,0.26,0.14
ASB12,0.08,0.08
ASB13,0.46,0.46
ASB16,0.18,0.0
ASB16-AS1,0.0,0.04
ASB17,0.06,0.0
ASB2,0.88,0.44
ASB4,0.24,0.16
ASB6,0.64,0.2
ASB7,0.3,0.06
ASB8,0.44,0.36
ASB9,0.9,0.6
ASCC1,0.52,0.22
ASCC2,0.9,0.64
ASCC3,0.7,0.24
ASCC3L1,0.04,0.04
ASCL1,0.44,0.38
ASCL2,0.24,0.24
ASCL3,0.16,0.0
ASCL4,0.02,0.02
ASF1A,1.0,1.0
ASF1B,1.0,0.88
ASGR1,0.46,0.5
ASGR2,0.48,0.46
ASH1L,0.48,0.2
ASH2L,1.0,0.92
ASIC1,0.32,0.24
ASIC2,0.16,0.16
ASIC3,0.16,0.2
ASIP,0.02,0.0
ASL,0.62,0.0
ASMTL,0.32,0.04
ASNA1,0.68,0.28
ASNS,0.94,0.26
ASNSD1,0.1,0.0
ASPG,0.0,0.02
ASPH,0.36,0.02
ASPM,0.6,0.22
ASPRV1,0.04,0.0
ASPSCR1,0.6,0.12
ASRGL1,0.32,0.08
ASS1,0.9,0.3
ASUN,0.46,0.2
ASXL1,0.92,0.58
ASXL2,0.54,0.2
ASZ1,0.04,0.04
ATAD1,0.38,0.12
ATAD2,0.68,0.24
ATAD2B,0.08,0.0
ATAD3A,0.88,0.14
ATAD3B,0.5,0.2
ATAD3C,0.04,0.0
ATAD5,0.4,0.08
ATAT1,0.12,0.02
ATCAY,0.16,0.02
ATE1,0.28,0.12
ATF1,0.86,0.26
ATF2,1.0,0.02
ATF3,1.0,0.56
ATF4,1.0,0.9
ATF5,0.72,0.52
ATF6,0.68,0.54
ATF6B,0.24,0.24
ATF7,0.62,0.42
ATF7IP,0.98,0.4
ATF7IP2,0.22,0.12
ATG10,0.5,0.46
ATG12,0.98,0.88
ATG13,0.7,0.56
ATG14,0.48,0.24
ATG16L1,0.9,0.6
ATG16L2,0.26,0.16
ATG2A,0.44,0.52
ATG2B,0.14,0.06
ATG3,0.94,0.86
ATG4A,0.12,0.08
ATG4B,0.96,0.86
ATG4C,0.4,0.06
ATG4D,0.04,0.08
ATG5,1.0,0.6
ATG7,1.0,0.8
ATG9A,0.66,0.28
ATHL1,0.1,0.0
ATIC,0.94,0.12
ATL1,0.26,0.14
ATL2,0.24,0.0
ATL3,0.46,0.0
ATM,1.0,1.0
ATMIN,0.08,0.1
ATN1,1.0,0.72
ATOH8,0.14,0.12
ATOX1,0.54,0.38
ATP10D,0.12,0.0
ATP11A,0.36,0.0
ATP11B,0.12,0.02
ATP11C,0.12,0.0
ATP12A,0.54,0.16
ATP13A1,0.46,0.12
ATP13A2,0.94,0.8
