protein,renan_analysis/W_2_BETA_12_D_8_mu_0.0,renan_analysis/W_2_BETA_3_D_8_mu_5e-05
NBN,1.0,0.76
NBPF1,0.12,0.0
NBPF10,0.14,0.0
NBPF11,0.18,0.0
NBPF12,0.14,0.0
NBPF14,0.08,0.0
NBPF15,0.08,0.0
NBPF16,0.04,0.0
NBPF3,0.18,0.02
NBPF8,0.14,0.0
NBPF9,0.04,0.0
NBR1,0.98,0.9
NCALD,0.36,0.14
NCAM1,0.5,0.28
NCAM2,0.08,0.06
NCAN,0.38,0.28
NCAPD2,0.96,0.62
NCAPD3,0.64,0.4
NCAPG,0.9,0.8
NCAPG2,0.74,0.34
NCAPH,0.9,0.76
NCAPH2,0.48,0.34
NCBP1,1.0,0.52
NCBP2,0.7,0.4
NCCRP1,0.06,0.0
NCDN,0.64,0.14
NCF1,0.98,0.8
NCF2,0.92,0.72
NCF4,0.82,0.7
NCK1,1.0,0.1
NCK2,0.96,0.92
NCKAP1,0.88,0.46
NCKAP1L,0.34,0.04
NCKAP5,0.2,0.02
NCKAP5L,0.28,0.02
NCKIPSD,0.72,0.26
NCL,1.0,1.0
NCLN,0.48,0.06
NCOA1,1.0,0.86
NCOA2,1.0,0.74
NCOA3,1.0,0.3
NCOA4,0.76,0.26
NCOA5,0.34,0.06
NCOA6,1.0,0.66
NCOA7,0.4,0.3
NCOR1,1.0,0.48
NCOR2,1.0,0.66
NCR1,0.18,0.06
NCR2,0.04,0.0
NCR3,0.02,0.04
NCR3LG1,0.06,0.02
NCS1,0.68,0.32
NCSTN,0.96,0.28
ND1,0.5,0.16
ND2,0.24,0.04
ND4,0.2,0.04
ND4L,0.0,0.02
ND5,0.1,0.1
ND6,0.06,0.08
NDC1,0.4,0.0
NDC80,0.98,0.82
NDE1,0.32,0.22
NDEL1,1.0,0.78
NDFIP1,0.36,0.14
NDFIP2,0.76,0.26
NDN,0.96,0.78
NDNL2,0.62,0.48
NDOR1,0.24,0.12
NDP,0.2,0.08
NDRG1,0.98,0.48
NDRG2,0.32,0.14
NDRG3,0.18,0.04
NDST1,0.04,0.0
NDUFA1,0.22,0.14
NDUFA10,0.24,0.14
NDUFA11,0.16,0.0
NDUFA12,0.5,0.14
NDUFA13,0.68,0.36
NDUFA2,0.6,0.36
NDUFA3,0.02,0.0
NDUFA4,0.6,0.16
NDUFA4L2,0.74,0.54
NDUFA5,1.0,1.0
NDUFA6,0.34,0.24
NDUFA7,0.82,0.38
NDUFA8,0.52,0.04
NDUFA9,0.58,0.2
NDUFAB1,0.14,0.06
NDUFAF1,0.44,0.1
NDUFAF2,0.22,0.08
NDUFAF3,0.34,0.18
NDUFAF4,0.38,0.06
NDUFAF5,0.04,0.0
NDUFAF7,0.02,0.0
NDUFB1,0.22,0.04
NDUFB10,0.58,0.28
NDUFB11,0.44,0.26
NDUFB2,0.12,0.0
NDUFB3,0.06,0.0
NDUFB4,0.44,0.12
NDUFB5,0.22,0.14
NDUFB6,0.56,0.18
NDUFB7,0.42,0.22
NDUFB8,0.54,0.34
NDUFB9,0.82,0.5
NDUFC2,0.34,0.0
NDUFS1,0.74,0.24
NDUFS2,0.64,0.28
NDUFS3,0.8,0.32
NDUFS4,0.4,0.1
NDUFS5,0.32,0.0
NDUFS6,0.52,0.28
NDUFS7,0.46,0.26
NDUFS8,0.44,0.26
NDUFV1,0.7,0.2
NDUFV2,0.44,0.3
NDUFV3,0.18,0.1
NEB,0.86,0.64
NEBL,0.18,0.2
NECAB1,0.1,0.0
NECAB2,0.8,0.44
NECAB3,0.24,0.02
NECAP1,0.16,0.0
NECAP2,0.52,0.22
NEDD1,0.2,0.02
NEDD4,1.0,0.02
NEDD4L,1.0,0.32
NEDD8,1.0,0.0
NEDD8-MDP1,0.34,0.0
NEDD9,0.96,0.7
NEFH,0.76,0.12
NEFL,0.66,0.38
NEFM,0.54,0.2
NEGR1,0.0,0.02
NEIL1,0.22,0.22
NEIL2,0.4,0.0
NEIL3,0.38,0.0
NEK1,0.66,0.58
NEK10,0.06,0.0
NEK11,0.3,0.16
NEK2,0.84,0.54
NEK3,0.22,0.14
NEK6,0.98,0.64
NEK7,0.46,0.12
NEK8,0.38,0.06
NEK9,0.9,0.62
NELFA,0.48,0.28
NELFB,1.0,0.68
NELFCD,0.96,0.62
NELFE,0.84,0.5
NELL1,0.46,0.1
NELL2,0.24,0.16
NEMF,0.14,0.0
NENF,0.46,0.12
NEO1,0.36,0.14
NES,0.38,0.1
NET1,0.44,0.22
NETO1,0.16,0.0
NEU1,0.4,0.2
NEU3,0.1,0.02
NEU4,0.28,0.34
NEURL1,0.2,0.1
NEURL2,0.02,0.0
NEURL3,0.06,0.0
NEURL4,0.82,0.58
NEUROD1,0.38,0.2
NEUROD2,0.2,0.14
NEUROD4,0.04,0.0
NEUROD6,0.04,0.0
NEUROG1,0.16,0.08
NEUROG2,0.04,0.0
NEXN,0.22,0.02
NF1,0.86,0.44
NF2,0.98,0.6
NFAM1,0.0,0.02
NFASC,0.26,0.06
NFAT5,0.56,0.16
NFATC1,0.82,0.4
NFATC2,0.84,0.48
NFATC2IP,0.28,0.12
NFATC3,0.22,0.08
NFATC4,0.54,0.14
NFE2,0.84,0.48
NFE2L1,0.92,0.62
NFE2L2,0.96,0.74
NFE2L3,0.46,0.46
NFE4,0.6,0.26
NFIA,0.64,0.14
NFIB,1.0,1.0
NFIC,0.58,0.3
NFIL3,0.58,0.44
NFIX,0.32,0.6
NFKB1,1.0,0.08
NFKB2,1.0,0.14
NFKBIA,1.0,0.28
NFKBIB,0.98,0.38
NFKBIE,0.98,0.6
NFKBIL1,0.6,0.42
NFKBIZ,0.32,0.04
NFRKB,0.82,0.42
NFS1,0.32,0.04
NFU1,0.28,0.14
NFX1,0.82,0.2
NFXL1,0.26,0.06
NFYA,0.96,0.82
NFYB,1.0,1.0
NFYC,1.0,1.0
NGB,0.34,0.14
NGDN,0.12,0.0
NGEF,0.5,0.52
NGF,0.72,0.64
NGFR,0.98,0.8
NGFRAP1,0.64,0.3
NGLY1,0.66,0.24
NGRN,0.16,0.04
NHEJ1,0.46,0.38
NHLH1,0.36,0.26
NHLH2,0.06,0.04
NHLRC1,0.68,0.36
NHLRC2,0.24,0.08
NHLRC3,0.04,0.0
NHP2,0.76,0.12
NHP2L1,1.0,0.0
NHS,0.1,0.02
NID1,0.62,0.6
NID2,0.34,0.32
NIF3L1,0.98,0.56
NIFK,0.84,0.04
NIM1,0.04,0.0
NIN,0.54,0.16
NINJ1,0.08,0.02
NINL,1.0,0.76
NIP7,0.64,0.06
NIPA2,0.04,0.0
NIPBL,0.66,0.54
NIPSNAP1,0.6,0.32
NIPSNAP3A,0.46,0.38
NISCH,0.58,0.06
NIT1,0.26,0.16
NIT2,0.34,0.1
NKAP,0.8,0.52
NKAPL,0.08,0.0
NKD1,0.02,0.08
NKD2,0.66,0.34
NKG7,0.02,0.0
NKIRAS1,0.24,0.12
NKIRAS2,0.24,0.04
NKRF,0.64,0.14
NKTR,0.14,0.0
NKX2-1,0.56,0.24
NKX2-2,0.06,0.02
NKX2-3,0.1,0.06
NKX2-5,0.58,0.64
NKX2-8,0.04,0.04
NKX3-1,0.76,0.28
NKX3-2,0.34,0.26
NLE1,0.28,0.0
NLGN1,0.3,0.2
NLGN2,0.16,0.12
NLGN3,0.14,0.12
NLGN4X,0.04,0.02
NLK,0.9,0.72
NLN,0.22,0.0
NLRC3,0.06,0.0
NLRC4,0.78,0.74
NLRC5,0.2,0.06
NLRP1,0.64,0.66
NLRP10,0.22,0.18
NLRP11,0.08,0.0
NLRP12,0.12,0.02
NLRP2,0.52,0.26
NLRP3,0.7,0.68
NLRP4,0.34,0.16
NLRP7,0.14,0.06
NLRX1,0.4,0.2
NMD3,0.62,0.0
NME1,0.98,0.8
NME2,1.0,0.0
NME3,0.66,0.32
NME4,0.38,0.38
NME5,0.14,0.06
NME6,0.12,0.02
NME7,0.58,0.28
NME8,0.04,0.0
NMI,0.98,0.78
NMNAT1,0.46,0.12
NMNAT2,0.16,0.0
NMRAL1,0.2,0.04
NMRK1,0.04,0.0
NMRK2,0.24,0.16
NMT1,0.96,0.3
NMT2,0.4,0.14
NMU,0.1,0.02
NMUR1,0.06,0.0
NMUR2,0.08,0.0
NNAT,0.06,0.02
NNMT,0.16,0.04
NNT,0.62,0.2
NOA1,0.76,0.42
NOB1,0.58,0.12
NOC2L,0.82,0.16
NOC3L,0.38,0.0
NOC4L,0.84,0.18
NOD1,0.94,0.76
NOD2,1.0,0.88
NOG,0.32,0.26
NOL10,0.54,0.0
NOL11,0.44,0.12
NOL12,0.3,0.06
NOL3,0.72,0.48
NOL4,0.2,0.1
NOL6,0.66,0.0
NOL7,0.34,0.08
NOL8,0.36,0.2
NOL9,0.42,0.08
NOLC1,0.88,0.3
NOM1,0.36,0.06
NOMO1,0.68,0.34
NOMO2,0.46,0.08
NOMO3,0.64,0.02
NONO,1.0,1.0
NOP10,0.18,0.04
NOP14,0.28,0.02
NOP16,0.28,0.12
NOP2,0.9,0.06
NOP56,1.0,0.0
NOP58,0.98,0.0
NOP9,0.32,0.0
NOS1,0.76,0.32
NOS1AP,0.42,0.34
NOS2,1.0,0.02
NOS3,0.98,0.6
NOSIP,0.68,0.22
NOSTRIN,0.52,0.48
NOTCH1,1.0,0.08
NOTCH2,0.76,0.5
NOTCH2NL,0.34,0.36
NOTCH3,0.84,0.4
NOTCH4,0.28,0.06
NOV,0.64,0.32
NOVA1,0.2,0.1
NOX1,0.06,0.02
NOX4,0.0,0.02
NOX5,0.34,0.0
NOXA1,0.5,0.24
NOXO1,0.14,0.18
NPAS1,0.02,0.0
NPAS2,0.6,0.34
NPAS4,0.08,0.12
NPAT,0.74,0.44
NPC1,0.46,0.24
NPC2,0.46,0.14
NPDC1,0.7,0.48
NPEPL1,0.02,0.0
NPEPPS,0.84,0.2
NPFF,0.0,0.02
NPHP1,0.76,0.56
NPHP3,0.26,0.08
NPHP4,0.2,0.06
NPHS1,0.8,0.3
NPHS2,0.5,0.24
NPIPA2,0.08,0.0
NPL,0.04,0.0
NPLOC4,0.98,0.38
NPM1,1.0,0.0
NPM2,0.04,0.0
NPM3,0.56,0.36
NPNT,0.08,0.02
NPPA,0.56,0.4
NPPB,0.38,0.26
NPPC,0.36,0.18
NPR1,0.3,0.24
NPR2,0.5,0.3
NPR3,0.4,0.16
NPRL2,0.42,0.2
NPRL3,0.3,0.08
NPTN,0.32,0.02
NPTX1,0.12,0.04
NPVF,0.14,0.0
NPY,0.42,0.26
NPY1R,0.28,0.16
NPY2R,0.02,0.0
NPY4R,0.08,0.0
NPY5R,0.08,0.1
NQO1,0.54,0.08
NQO2,0.52,0.12
NR0B1,0.8,0.46
NR0B2,1.0,0.94
NR1D1,0.66,0.38
NR1D2,0.56,0.26
NR1H2,0.94,0.72
NR1H3,0.96,0.6
NR1H4,0.74,0.42
NR1I2,0.84,0.56
NR1I3,0.38,0.18
NR2C1,0.88,0.46
NR2C2,0.84,0.6
NR2C2AP,0.16,0.1
NR2E1,0.44,0.14
NR2E3,0.82,0.8
NR2F1,0.82,0.58
NR2F2,0.66,0.3
NR2F6,0.92,0.36
NR3C1,1.0,0.02
NR3C2,0.68,0.46
NR4A1,1.0,0.28
NR4A2,0.68,0.54
NR4A3,0.36,0.22
NR5A1,0.88,0.62
NR5A2,0.8,0.62
NR6A1,0.14,0.06
NRAP,0.16,0.0
NRARP,0.1,0.0
NRAS,0.92,0.46
NRBF2,0.38,0.22
NRBP1,0.76,0.42
NRCAM,0.26,0.18
NRD1,0.92,0.44
NRDE2,0.18,0.0
NREP,0.18,0.06
NRF1,0.54,0.38
NRG1,0.32,0.22
NRG2,0.12,0.02
NRG4,0.06,0.04
NRGN,0.24,0.06
NRIP1,1.0,0.88
NRIP2,0.08,0.08
NRIP3,0.04,0.0
NRL,0.14,0.18
NRM,0.08,0.0
NRP1,0.8,0.66
NRP2,0.22,0.12
NRROS,0.12,0.0
NRSN2,0.26,0.12
NRTN,0.18,0.08
NRXN1,0.34,0.22
NRXN2,0.2,0.16
NRXN3,0.16,0.04
NSA2,0.4,0.0
NSD1,0.32,0.1
NSDHL,0.34,0.0
NSF,0.96,0.08
NSFL1C,1.0,0.38
NSL1,0.86,0.88
NSMAF,0.7,0.36
NSMCE1,0.78,0.52
NSMCE2,0.62,0.34
NSMCE4A,0.52,0.2
NSMF,0.12,0.06
NSRP1,0.46,0.12
NSUN2,0.92,0.24
NSUN3,0.02,0.0
NSUN4,0.38,0.14
NSUN5,0.38,0.0
NSUN5P2,0.04,0.0
NT5C,1.0,0.0
NT5C1B,0.08,0.0
NT5C1B-RDH14,0.04,0.0
NT5C2,0.76,0.6
NT5C3A,0.1,0.04
NT5C3B,0.06,0.04
NT5DC1,0.22,0.04
NT5DC2,1.0,1.0
NT5DC3,0.04,0.04
NT5DC4,0.04,0.0
NT5E,0.16,0.1
NTAN1,0.02,0.02
NTF3,0.24,0.12
NTF4,0.42,0.22
NTHL1,0.48,0.1
NTM,0.08,0.0
NTMT1,0.5,0.1
NTN1,0.36,0.2
NTN4,0.26,0.14
NTNG1,0.02,0.04
NTNG2,0.06,0.0
NTPCR,0.68,0.1
NTRK1,1.0,0.62
NTRK2,0.68,0.36
NTRK3,0.34,0.06
NTS,0.06,0.02
NTSR1,0.04,0.0
NUAK1,0.6,0.3
NUAK2,0.4,0.04
NUB1,0.98,0.36
NUBP1,0.66,0.38
NUBP2,1.0,1.0
NUCB1,0.68,0.52
NUCB2,0.7,0.5
NUCKS1,0.3,0.16
NUDC,0.96,0.5
NUDCD1,0.24,0.14
NUDCD2,0.76,0.36
NUDCD3,0.52,0.06
NUDT1,0.4,0.06
NUDT10,0.04,0.02
NUDT11,0.1,0.0
NUDT14,0.16,0.08
NUDT15,0.04,0.0
NUDT16L1,0.5,0.02
NUDT18,1.0,0.92
NUDT19,0.18,0.04
NUDT2,0.02,0.0
NUDT21,1.0,0.46
NUDT22,0.34,0.0
NUDT3,0.92,0.78
NUDT5,1.0,1.0
NUDT6,0.34,0.0
NUDT7,0.04,0.02
NUDT9,0.12,0.04
NUF2,0.84,0.68
NUFIP1,0.56,0.4
NUFIP2,0.48,0.02
NUMA1,1.0,1.0
NUMB,0.92,0.66
NUMBL,0.76,0.54
NUP107,0.96,0.68
NUP133,0.9,0.56
NUP153,0.98,0.26
NUP155,0.88,0.2
NUP160,0.74,0.36
NUP188,0.74,0.1
NUP205,0.78,0.2
NUP210,0.6,0.16
NUP214,0.96,0.54
NUP35,0.3,0.0
NUP37,0.72,0.3
NUP43,0.74,0.2
NUP50,0.84,0.32
NUP54,0.78,0.34
NUP62,0.98,0.74
NUP62CL,0.16,0.02
NUP85,0.8,0.34
NUP88,0.86,0.36
NUP93,0.86,0.32
NUP98,0.98,0.72
NUPL1,0.52,0.1
NUPL2,0.24,0.04
NUPR1,0.3,0.1
NUS1,0.08,0.0
NUSAP1,0.44,0.28
NUTF2,0.86,0.24
NUTM1,0.12,0.0
NUTM2A,0.02,0.0
NVL,0.52,0.04
NXF1,1.0,0.74
NXF2B,0.26,0.16
NXF3,0.44,0.2
NXF5,0.0,0.04
NXN,0.28,0.04
NXNL1,0.14,0.0
NXPE3,0.06,0.0
NXPE4,0.04,0.0
NXPH1,0.02,0.02
NXPH2,0.0,0.02
NXPH3,0.22,0.0
NXT1,0.54,0.34
NXT2,0.24,0.02
NYAP1,0.02,0.0
NYNRIN,0.22,0.0
OARD1,0.38,0.14
OAS1,0.08,0.08
OAS2,0.08,0.0
OAS3,0.58,0.32
OASL,0.16,0.08
OAT,0.7,0.0
OATL1,0.06,0.0
OAZ1,0.42,0.18
OAZ2,0.0,0.02
OAZ3,0.12,0.02
OBFC1,0.76,0.42
OBP2B,0.06,0.0
OBSCN,0.72,0.46
OBSL1,0.56,0.38
OCA2,0.12,0.06
OCEL1,0.1,0.0
OCIAD1,0.38,0.08
OCIAD2,0.18,0.0
OCLN,0.8,0.46
OCM2,0.08,0.0
OCRL,0.88,0.7
ODAM,0.16,0.04
ODC1,0.5,0.14
ODF1,0.24,0.24
ODF2,0.38,0.02
ODF2L,0.16,0.1
ODF3,0.06,0.02
ODF3L2,0.04,0.0
OFCC1,0.2,0.08
OFD1,0.6,0.34
OGDH,0.66,0.0
OGDHL,0.18,0.0
OGFOD1,0.84,0.2
OGFOD2,0.12,0.1
OGFOD3,0.1,0.0
OGFR,0.62,0.14
OGG1,0.42,0.2
OGN,0.2,0.06
OGT,0.9,0.58
OIP5,0.52,0.4
OLA1,0.88,0.0
OLFM1,0.08,0.08
OLFM2,0.5,0.34
OLFM3,0.12,0.02
OLFM4,0.2,0.08
OLFML2A,0.06,0.0
OLFML3,0.2,0.22
OLIG1,0.28,0.06
OLIG2,0.12,0.02
OLIG3,0.0,0.02
OLR1,0.1,0.0
OMA1,0.06,0.04
OMP,0.02,0.0
ONECUT1,0.3,0.28
ONECUT2,0.04,0.04
OOSP2,0.04,0.0
OPA1,0.64,0.22
OPA3,0.2,0.08
OPALIN,0.04,0.0
OPCML,0.1,0.08
OPHN1,0.2,0.12
OPLAH,0.04,0.0
OPN1LW,0.02,0.08
OPN1MW2,0.0,0.02
OPRD1,0.7,0.26
OPRK1,0.44,0.32
OPRL1,0.1,0.16
OPRM1,0.9,0.64
OPTC,0.08,0.0
OPTN,1.0,0.78
OR10J1,0.04,0.0
OR1E2,0.02,0.02
OR2AG1,0.12,0.06
OR2T35,0.06,0.0
OR2T6,0.04,0.0
OR2W1,0.06,0.0
OR3A1,0.04,0.0
OR3A2,0.06,0.0
OR4C12,0.04,0.0
OR4D6,0.12,0.0
OR4S2,0.04,0.02
OR5A1,0.02,0.02
OR6B3,0.04,0.0
OR6T1,0.02,0.0
OR7A5,0.02,0.0
OR7G3,0.08,0.0
OR8D4,0.02,0.0
OR8H2,0.1,0.0
ORAI1,0.4,0.38
ORAI2,0.44,0.36
ORAI3,0.06,0.04
ORAOV1,0.1,0.0
ORC1,0.88,0.72
ORC2,1.0,0.98
ORC3,0.96,0.82
ORC4,0.96,0.84
ORC5,0.96,0.76
ORC6,0.98,0.92
ORFNames=UNQ1916,0.02,0.02
ORFNames=hCG_1723909,0.08,0.04
ORFNames=hCG_1811444,0.14,0.08
ORFNames=hCG_2022592,0.02,0.02
ORFNames=hCG_20425,0.04,0.02
ORM1,0.3,0.2
ORM2,0.16,0.08
ORMDL1,0.3,0.02
ORMDL2,0.2,0.0
ORMDL3,0.46,0.02
OS9,0.96,0.74
OSBP,0.66,0.24
OSBP2,0.12,0.04
OSBPL10,0.6,0.32
OSBPL11,0.56,0.12
OSBPL1A,0.14,0.02
OSBPL2,0.14,0.0
OSBPL3,0.5,0.02
OSBPL5,0.36,0.06
OSBPL6,0.04,0.0
OSBPL8,0.32,0.08
OSBPL9,0.46,0.24
OSER1,0.12,0.0
OSGEP,0.96,0.34
OSGEPL1,0.04,0.0
OSGIN1,0.06,0.0
OSM,0.52,0.38
OSMR,0.48,0.02
OSR1,0.3,0.1
OSR2,0.02,0.02
OST4,0.1,0.02
OSTC,0.34,0.06
OSTF1,0.76,0.3
OSTM1,0.6,0.26
OTC,0.12,0.02
OTOF,0.1,0.06
OTOG,0.04,0.0
OTUB1,1.0,0.56
OTUB2,0.82,0.38
OTUD1,0.26,0.06
OTUD4,0.7,0.36
OTUD5,0.72,0.26
OTUD6A,0.16,0.1
OTUD6B,0.54,0.24
OTUD7A,0.08,0.0
OTUD7B,0.72,0.24
OTX1,0.56,0.44
OTX2,0.22,0.16
OVCA2,0.02,0.02
OVGP1,0.1,0.0
OVOL1,0.14,0.16
OVOL2,0.02,0.0
OXA1L,0.38,0.22
OXCT1,0.7,0.42
OXR1,0.18,0.18
OXSM,0.2,0.0
OXSR1,1.0,0.0
OXT,0.14,0.12
OXTR,0.06,0.02
P2RX4,0.16,0.1
P2RX5,0.1,0.0
P2RX6,0.1,0.0
P2RX7,0.16,0.06
P2RY1,0.24,0.12
P2RY11,0.02,0.0
P2RY2,0.26,0.06
P2RY4,0.14,0.02
P2RY6,0.02,0.0
P2RY8,0.16,0.0
P4HA1,0.44,0.0
P4HA2,0.52,0.06
P4HA3,0.04,0.0
P4HB,0.98,0.32
P4HTM,0.22,0.08
PA2G4,1.0,0.28
PAAF1,0.98,0.14
PABPC1,1.0,0.08
PABPC1L,0.46,0.0
PABPC1L2B,0.04,0.0
PABPC3,0.52,0.06
PABPC4,0.96,0.1
PABPC4L,0.34,0.0
PABPC5,0.36,0.02
PABPN1,0.78,0.42
PABPN1L,0.04,0.0
PACRG,0.46,0.12
PACRGL,0.0,0.02
PACS1,0.58,0.32
PACS2,0.18,0.04
PACSIN1,0.9,0.74
PACSIN2,0.9,0.64
PACSIN3,0.9,0.54
PADI1,0.12,0.0
PADI2,0.06,0.0
PADI3,0.04,0.02
PADI4,0.58,0.26
PAEP,0.76,0.5
PAF1,0.96,0.88
PAFAH1B1,1.0,0.78
PAFAH1B2,0.94,0.54
PAFAH1B3,0.96,0.82
PAG1,0.76,0.36
PAGE1,0.12,0.0
PAGE2,0.2,0.02
PAGE5,0.06,0.0
PAGR1,0.6,0.28
PAH,0.12,0.08
PAICS,0.94,0.4
PAIP1,0.68,0.28
PAIP2,0.76,0.2
PAIP2B,0.2,0.0
PAK1,1.0,0.18
PAK1IP1,0.22,0.06
PAK2,1.0,0.14
PAK3,0.42,0.26
PAK4,0.82,0.4
PAK6,0.72,0.24
PAK7,0.46,0.5
PALB2,0.84,0.76
PALD1,0.34,0.2
PALLD,1.0,1.0
PALM,0.1,0.06
PALM2,0.06,0.02
PALM2-AKAP2,0.54,0.22
PALMD,0.02,0.0
PAM,0.5,0.18
PAM16,0.42,0.36
PAN2,1.0,0.0
PAN3,0.68,0.12
PANK1,0.06,0.0
PANK2,0.32,0.04
PANK3,0.24,0.0
PANK4,0.5,0.34
PANX1,0.26,0.04
PANX2,0.04,0.0
PANX3,0.04,0.02
PAP1,0.0,0.02
PAPD4,0.04,0.0
PAPD7,0.12,0.02
PAPOLA,0.72,0.16
PAPOLB,0.08,0.0
PAPOLG,0.1,0.1
PAPPA,0.34,0.18
PAPPA2,0.36,0.26
PAPSS1,0.8,0.46
PAPSS2,0.56,0.08
PAQR3,0.06,0.12
PAQR6,0.12,0.08
PAQR7,0.14,0.0
PARD3,0.98,0.6
PARD3B,0.3,0.06
PARD6A,0.98,0.7
PARD6B,0.92,0.74
PARD6G,0.78,0.4
PARG,0.28,0.14
PARK2,1.0,0.84
PARK7,1.0,1.0
PARL,0.08,0.06
PARN,0.58,0.32
PARP1,1.0,1.0
PARP10,0.64,0.14
PARP11,0.16,0.18
PARP12,0.34,0.22
PARP14,0.32,0.02
PARP15,0.08,0.0
PARP16,0.04,0.0
PARP2,0.88,0.56
PARP3,0.26,0.22
PARP4,0.48,0.2
PARP6,0.16,0.18
PARP8,0.02,0.0
PARP9,0.22,0.0
PARPBP,0.18,0.0
PARS2,0.16,0.06
PARVA,0.68,0.26
PARVB,0.18,0.12
PARVG,0.22,0.06
PASD1,0.08,0.0
PASK,0.74,0.38
PATE3,0.04,0.0
PATL1,0.16,0.1
PATZ1,0.38,0.34
PAUF,0.2,0.12
PAWR,0.88,0.5
PAX1,0.22,0.08
PAX2,0.32,0.1
PAX3,0.84,0.42
PAX5,0.68,0.28
PAX6,0.88,0.24
PAX7,0.34,0.08
PAX8,0.5,0.3
PAX9,0.36,0.44
PAXBP1,0.1,0.0
PAXIP1,1.0,0.0
PBDC1,0.48,0.3
PBK,0.96,0.1
PBLD,0.16,0.04
PBRM1,0.9,0.32
PBX1,1.0,1.0
PBX2,0.68,0.68
PBX3,0.24,0.18
PBXIP1,0.78,0.58
PC,1.0,1.0
PCBD1,0.98,1.0
PCBD2,1.0,1.0
PCBP1,0.96,0.6
PCBP2,0.92,0.18
PCBP3,0.58,0.18
PCBP4,0.26,0.12
PCCA,0.26,0.16
PCCB,0.36,0.1
PCDH1,0.2,0.04
PCDH10,0.14,0.08
PCDH11X,0.06,0.0
PCDH12,0.04,0.0
PCDH17,0.16,0.14
PCDH18,0.02,0.02
PCDH20,0.04,0.0
PCDH7,0.1,0.04
PCDH8,0.08,0.06
PCDH9,0.04,0.08
PCDHA1,0.02,0.04
PCDHA10,0.06,0.0
PCDHA11,0.1,0.0
PCDHA12,0.0,0.04
PCDHA2,0.3,0.04
PCDHA3,0.04,0.02
PCDHA4,0.38,0.3
PCDHA5,0.0,0.04
PCDHA6,0.2,0.04
PCDHA7,0.12,0.04
PCDHA8,0.04,0.02
PCDHA9,0.04,0.0
PCDHB10,0.14,0.1
PCDHB11,0.04,0.0
PCDHB15,0.04,0.0
PCDHB2,0.1,0.0
PCDHB3,0.08,0.0
PCDHB4,0.02,0.0
PCDHB5,0.12,0.0
PCDHB7,0.1,0.0
PCDHB8,0.02,0.0
PCDHGA11,0.0,0.04
PCDHGA12,0.04,0.0
PCDHGB2,0.06,0.0
PCDHGC3,0.14,0.06
PCDHGC5,0.1,0.0
PCED1A,0.24,0.08
PCF11,0.1,0.06
PCGF1,0.98,0.78
PCGF2,0.96,0.9
PCGF3,0.86,0.66
PCGF5,0.56,0.48
PCGF6,0.94,0.68
PCID2,0.72,0.32
PCIF1,0.12,0.0
PCK1,0.92,0.16
PCK2,0.3,0.0
PCLO,0.32,0.1
PCM1,1.0,0.66
PCMT1,0.86,0.14
PCMTD1,0.12,0.04
PCMTD2,0.28,0.04
PCNA,1.0,0.26
PCNP,0.26,0.22
PCNT,0.72,0.36
PCNX,0.48,0.06
PCNXL3,0.38,0.0
PCNXL4,0.1,0.12
PCOLCE,0.24,0.24
PCP4,0.16,0.04
PCP4L1,0.06,0.0
PCSK1,0.24,0.04
PCSK1N,0.02,0.0
PCSK4,0.06,0.04
PCSK5,0.36,0.12
PCSK6,0.22,0.06
PCSK7,0.06,0.0
PCSK9,0.62,0.02
PCTP,0.08,0.06
PCYOX1,0.28,0.02
PCYT1A,0.42,0.08
PCYT1B,0.2,0.02
PCYT2,0.46,0.3
PDAP1,0.34,0.16
PDC,0.2,0.04
PDCD1,0.26,0.12
PDCD10,0.98,0.6
PDCD11,0.86,0.0
PDCD1LG2,0.06,0.02
PDCD2,0.38,0.26
PDCD2L,0.28,0.0
PDCD4,1.0,1.0
PDCD5,0.82,0.46
PDCD6,0.94,0.88
PDCD6IP,1.0,0.92
PDCD7,0.52,0.32
PDCL,0.46,0.26
PDCL3,0.04,0.0
PDDC1,0.18,0.2
PDE10A,0.12,0.0
PDE12,0.64,0.3
PDE1A,0.14,0.02
PDE1B,0.08,0.06
PDE2A,0.12,0.02
PDE3A,0.52,0.22
PDE3B,0.14,0.1
PDE4A,0.22,0.06
PDE4B,0.14,0.12
PDE4C,0.02,0.0
PDE4D,0.86,0.18
PDE4DIP,0.74,0.46
PDE5A,0.14,0.08
PDE6A,0.02,0.02
PDE6B,0.08,0.08
PDE6D,0.9,0.74
PDE6G,0.32,0.04
PDE6H,0.04,0.0
PDE7B,0.06,0.04
PDE8A,0.04,0.0
PDE8B,0.06,0.0
PDE9A,0.22,0.12
PDGFA,0.48,0.42
PDGFB,0.78,0.68
PDGFC,0.3,0.3
PDGFD,0.06,0.02
PDGFRA,0.96,0.6
PDGFRB,1.0,0.92
PDHA1,0.9,0.0
PDHA2,0.14,0.0
PDHB,0.88,0.02
PDHX,0.58,0.24
PDIA2,0.64,0.18
PDIA3,1.0,0.66
PDIA4,0.96,0.1
PDIA5,0.12,0.04
PDIA6,0.92,0.38
PDIK1L,0.16,0.04
PDK1,0.64,0.42
PDK2,0.34,0.2
PDK3,0.24,0.04
PDK4,0.2,0.04
PDLIM1,0.78,0.62
PDLIM2,0.32,0.06
PDLIM3,0.16,0.24
PDLIM4,0.2,0.14
